"","WB","Ama2","Hyp3","Hb3","PrT","pTub","Hyp1","Cb","Ama1","Hyp2","Hb1","NEC","OB","Hb2","PN","DMX","Ama3"
"1",NA,"nr4a2a","nkx2.4b","hoxa5a","nr4a2a","nhlh2","nkx2.4b","eomesb","nr4a2a","nkx2.4b","sall2","hand2","dlx1a","crema","hand2","tbx20","nr4a2a"
"2",NA,"tbx3a","pou2f1b","mtcl1","bach2b","sim1b","nr2e1","nfixa","rxraa","dlx1a","onecutl","epas1b","sall3a","foxo1a","tbx20","gata2b","tbx3a"
"3",NA,"rxraa","tead1b","bach2b","pax7a","nkx2.4b","bsx","bach2b","tbx3a","IKZF2","sall3a","tbx20","zeb2b","hoxb6b","hoxb7a","sall3a","rxraa"
"4",NA,"crema","nkx2.4a","meis2a","gata2a","bsx","sox2","etv1","pbx3a","nr2e1","nr4a3","crema","hivep2a","hoxa5a","crema","stat3","pbx3a"
"5",NA,"nr4a2b","znf219","im:7142702","znf219","zfhx4","IKZF2","zbtb18","ahr1b","tbx3a","sall1a","ahr2","etv1","hoxc6a","bach2b","cbfb","pax10"
"6",NA,"ahr1b","tub","sall1a","zic2b","nkx2.4a","tead1b","tlx3b","thraa","sox2","phox2a","hmx3a","sp8a","hoxb8a","zeb2b","onecutl","meis2a"
"7",NA,"pax10","arid5b","tlx2","gata3","zfhx3","prdm13","neurod2","meis2a","sox13","phox2bb","arid3a","dlx2b","nhlh2","epas1b","phox2a","pax6b"
"8",NA,"meis2a","zbtb20","lcor","tcf7l2","pou2f2a","sp5a","nfixb","lcor","dlx5a","fosl1a","phox2a","cica","sall3a","phox2a","nfe2l1b","nr4a2b"
"9",NA,"vax1","lcor","hoxb3a","jund","lcor","nkx2.4a","prox1a","nr4a2b","bsx","lmx1bb","fosb","lcor","onecutl","hoxb8a","gata3","ahr1b"
"10",NA,"thraa","dacha","pou4f1","lcor","otpa","sox1a","neurod1","vax1","pou2f1b","tub","csrnp1b","foxg1a","hoxb6a","tlx2","epas1b","nr2f2"
"11",NA,"pax6b","lef1","hoxc5a","baz2ba","rerea","pou2f1b","nfia","zfhx3","nkx2.4a","lcor","jund","hivep3a","phox2a","fosl1a","isl2a","vax1"
