"","WB","PTh","OB","Hyp","EMeA","vFb","PoA","PoA.PTh"
"1",NA,"dlx1a","sp8a","dlx2a","sp8a","sp8a","esr1","nr4a2a"
"2",NA,"lcor","dlx1a","dlx5a","egr1","nfil3-6","satb2","dlx1a"
"3",NA,"jund","dlx2b","insm1b","egr4","fosb","crema","crema"
"4",NA,"rerea","hivep2a","prox1a","tulp4b","egr3","mef2ca","arxa"
"5",NA,"znf219","etv1","jund","dlx5a","egr2b","six6a","onecutl"
"6",NA,"dlx5a","sall3a","fosb","fosb","egr4","insm1b","vax1"
"7",NA,"dlx2a","egr1","npas4a","foxg1a","nr4a1","fosb","pou6f2"
"8",NA,"cicb","dlx5a","hmgb3b","junbb","foxg1a","nr4a1","bach2b"
"9",NA,"PAXBP1","meis2a",NA,"carhsp1","junbb","vax1","meis2a"
"10",NA,"npas4a","egr4",NA,"dlx2a","egr1","dlx2a","lrrfip1b"
"11",NA,"kmt2cb","tub",NA,"hivep1","junba","nr4a3","etv1"
"12",NA,"hivep1","fosb",NA,"npas4a","jund","npas4a","dlx5a"
"13",NA,"znf865","dlx2a",NA,"fosab","tomm20a","atf3","dlx6a"
"14",NA,"znf827","hivep1",NA,"tomm20a","npas4a","tead1b","zeb1a"
"15",NA,"mef2d","junba",NA,"junba","jdp2b","dlx5a","nfe2l1b"
"16",NA,"fosb","bhlhe41",NA,NA,"six3a","crebl2","znf536"
"17",NA,"baz2ba","fosl2",NA,NA,"sox11b","jund","nr1d2b"
"18",NA,"klf6a","junbb",NA,NA,"atf3","junba","jund"
"19",NA,"csde1","hmgb3b",NA,NA,"bhlhe41","fosl2","lcor"
"20",NA,"fosl2","npas4a",NA,NA,"dlx5a","six3b","arid2"
"21",NA,"camta1b","fosab",NA,NA,"fosl2","junbb","rerea"
"22",NA,"arnt2",NA,NA,NA,"fosab","tomm20a","znf827"
"23",NA,NA,NA,NA,NA,"jun","lhx1a","patz1"
"24",NA,NA,NA,NA,NA,"tsc22d1","bhlhe41","kmt2cb"
"25",NA,NA,NA,NA,NA,NA,"jun","hivep3a"
"26",NA,NA,NA,NA,NA,NA,"hmgb3b","cicb"
"27",NA,NA,NA,NA,NA,NA,"hsf2","dlx2a"
"28",NA,NA,NA,NA,NA,NA,"egr4","zfhx3"
"29",NA,NA,NA,NA,NA,NA,"tox","onecut1"
"30",NA,NA,NA,NA,NA,NA,"fosab","baz2ba"
"31",NA,NA,NA,NA,NA,NA,NA,"arid1b"
"32",NA,NA,NA,NA,NA,NA,NA,"tet2"
"33",NA,NA,NA,NA,NA,NA,NA,"znf865"
"34",NA,NA,NA,NA,NA,NA,NA,"aff2"
"35",NA,NA,NA,NA,NA,NA,NA,"tshz1"
"36",NA,NA,NA,NA,NA,NA,NA,"zmiz1a"
"37",NA,NA,NA,NA,NA,NA,NA,"nr4a2b"
"38",NA,NA,NA,NA,NA,NA,NA,"myt1a"
"39",NA,NA,NA,NA,NA,NA,NA,"camta1b"
"40",NA,NA,NA,NA,NA,NA,NA,"nfil3-5"
"41",NA,NA,NA,NA,NA,NA,NA,"myt1b"
"42",NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,NA,NA,NA,NA,NA,NA
"46",NA,NA,NA,NA,NA,NA,NA,NA
"47",NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,NA,NA,NA,NA,NA,NA,NA
"50",NA,NA,NA,NA,NA,NA,NA,NA
