dopa_out;dopa-d1like_in;dopa-d2like_in;dopa-d6/7;nora_out;nora_in;gaba_out;gaba_in;glut_out;glut_in;chol_out;chol_in;glycin_out;glycin_in;hist_out;hist_in;5-HT_out;5-HT_in
th;drd1a;drd2a;drd6a;th;adra2a;gad1a;gabarapa;slc17a7a;grin1a;chata;chrm1a;slc6a5;glra4a;hnmt;hrh1;tph1a;htr4
th2;drd1b;drd2b;drd6b;dbh;adra2b;gad1b;gabarapb;slc17a7b;grin1b;chatb;chrm1b;slc6a9;glra4b;hdc;hrh2a;tph1b;htr6
slc6a3;drd5a;drd2l;drd7;slc18a2;adra2c;gad2;gabra6a;slc17a6a;grin2ba;slc18a3a;chrm2a;;glra1;;hrh2b;tph2;htr1aa
slc18a2;drd5b;drd3;;;adra2da;gad3;gabra6b;slc17a6b;grin2bb;slc18a3b;chrm2b;;glrba;;hrh3;;htr1ab
;;drd4a;;;adra2db;slc32a1;gabra1;slc17a8;grin2da;slc5a7a;chrm3a;;glrbb;;hrh3l;;htr1d
;;drd4b;;;;;gabra2a;;grin2db;slc5a7b;chrm3b;;glra3;;;;htr1e
;;drd4-rs;;;;;gabra2b;;grin2aa;;chrm4a;;glra2;;;;htr2cl1
;;;;;;;gabra3;;grin2ab;;chrm4b;;;;;;htr1b
;;;;;;;gabra4;;grin3ba;;chrm5a;;;;;;htr1fa
;;;;;;;gabra5;;grin3bb;;chrm5b;;;;;;htr3a
;;;;;;;gabrb2a;;grin3a;;chrna1;;;;;;htr3b
;;;;;;;gabrb2b;;grin2ca;;chrna10a;;;;;;htr7al
;;;;;;;gabrb3;;grin2cb;;chrna10b;;;;;;htr2aa
;;;;;;;gabrb4;;grinaa;;chrna11;;;;;;htr2ab
;;;;;;;gabrr1;;grinab;;chrna2b;;;;;;htr5aa
;;;;;;;gabrr3a;;gria1a;;chrna3;;;;;;htr5ab
;;;;;;;gabrr3b;;gria1b;;chrna4a;;;;;;htr2b
;;;;;;;gabrg1;;gria2a;;chrna4b;;;;;;si:dkey-247m21.3
;;;;;;;gabrg2;;gria2b;;chrna5;;;;;;htr7a
;;;;;;;gabrg3;;gria3a;;chrna6;;;;;;htr7b
;;;;;;;gabrd;;gria3b;;chrna7a;;;;;;htr7c
;;;;;;;gabrp;;gria4a;;chrna7b;;;;;;htr7d
;;;;;;;gabrz;;gria4b;;chrna8;;;;;;
;;;;;;;gabrr2a;;vwc2;;chrna9a;;;;;;
;;;;;;;gabrr2b;;zgc:113531;;chrna9b;;;;;;
;;;;;;;gabrb1;;si:dkey-283b1.7;;chrnb1;;;;;;
;;;;;;;gabbr1a;;cacng2a;;chrnb1l;;;;;;
;;;;;;;gabbr1b;;cacng2b;;chrnb2;;;;;;
;;;;;;;gabbr2;;vwc2l;;chrnb2bl;;;;;;
;;;;;;;;;shisa7a;;chrnb3a;;;;;;
;;;;;;;;;shisa7b;;chrnb3b;;;;;;
;;;;;;;;;cacng3a;;chrnb4;;;;;;
;;;;;;;;;cacng3b;;chrnb5a;;;;;;
;;;;;;;;;cacng7a;;chrnb5b;;;;;;
;;;;;;;;;cacng7b;;chrnd;;;;;;
;;;;;;;;;cacng8a;;chrne;;;;;;
;;;;;;;;;cacng8b;;chrng;;;;;;
;;;;;;;;;shisa9a;;ric3a;;;;;;
;;;;;;;;;shisa9b;;ric3b;;;;;;
;;;;;;;;;cacng5a;;;;;;;;
;;;;;;;;;cacng5b;;;;;;;;
;;;;;;;;;cacng4a;;;;;;;;
;;;;;;;;;cacng4b;;;;;;;;
;;;;;;;;;grm3;;;;;;;;
;;;;;;;;;grm4;;;;;;;;
;;;;;;;;;grm1a;;;;;;;;
;;;;;;;;;grm1b;;;;;;;;
;;;;;;;;;grm2a;;;;;;;;
;;;;;;;;;grm2b;;;;;;;;
;;;;;;;;;grm8a;;;;;;;;
;;;;;;;;;grm8b;;;;;;;;
;;;;;;;;;grm5a;;;;;;;;
;;;;;;;;;grm5b;;;;;;;;
;;;;;;;;;grm6a;;;;;;;;
;;;;;;;;;grm6b;;;;;;;;
;;;;;;;;;grik1a;;;;;;;;
;;;;;;;;;grik1b;;;;;;;;
;;;;;;;;;grik2;;;;;;;;
;;;;;;;;;grik4;;;;;;;;
;;;;;;;;;grik5;;;;;;;;
