zf_gene_id;zf11_gene;mouse_gene;zf10_gene
ENSDARG00000077004;aldh1l1;Aldh1l1;aldh1l1
ENSDARG00000100591;sox32;Sry;sox32
ENSDARG00000013921;frya;Fry;frya
ENSDARG00000094752;rpe65b;Rpe65;rpe65b
ENSDARG00000006399;ywhae1;Ywhae;ywhae1
ENSDARG00000005141;camkvb;Camkv;camkvb
ENSDARG00000019747;hsd3b2;Hsd3b4;hsd3b2
ENSDARG00000093235;mpst;Tst;TST
ENSDARG00000059616;hs3st2;Hs3st2;hs3st2
ENSDARG00000099149;hs3st3b1a;Hs3st3b1;hs3st3b1a
ENSDARG00000086645;hs3st3b1b;Hs3st3b1;hs3st3b1b
ENSDARG00000052648;hs3st4;Hs3st4;hs3st4
ENSDARG00000035578;hs3st1l2;Hs3st1;hs3st1l2
ENSDARG00000053058;rps11;Rps11;rps11
ENSDARG00000090728;tnfrsf9b;Tnfrsf9;tnfrsf9b
ENSDARG00000045605;ticrr;Ticrr;ticrr
ENSDARG00000019881;bsg;Bsg;bsg
ENSDARG00000058105;rpl36a;Rpl36a;rpl36a
ENSDARG00000058451;rpl6;Rpl6;rpl6
ENSDARG00000054754;hs6st1a;Hs6st1;hs6st1a
ENSDARG00000071501;hs6st1b;Hs6st1;hs6st1b
ENSDARG00000069500;hs6st3b;Hs6st3;hs6st3b
ENSDARG00000012021;kdsr;Kdsr;kdsr
ENSDARG00000104881;olfcg12;Vmn2r99;v2ra1
ENSDARG00000037276;map9;Map9;map9
ENSDARG00000104552;olfcg1;Vmn2r70;olfcg1
ENSDARG00000101083;olfcg2;Vmn2r121;olfcg2
ENSDARG00000104854;olfcg3;Vmn2r55;olfcg3
ENSDARG00000099773;olfcg4;Vmn2r94;olfcg4
ENSDARG00000102459;olfcg5;Vmn2r88;olfcg5
ENSDARG00000098546;olfcg6;Vmn2r17;olfcg6
ENSDARG00000033706;adora2aa;Adora2a;adora2aa
ENSDARG00000058488;adora2ab;Adora2a;adora2ab
ENSDARG00000014746;rbfox1;Rbfox1;rbfox1
ENSDARG00000041645;a2ml3;Mug1;ENSDARG00000041645
ENSDARG00000044061;adora3a.1;Adora3;ENSDARG00000044061
ENSDARG00000097011;hbaa1;Hba-a2;hbaa1
ENSDARG00000053502;cryaa;Cryaa;cryaa
ENSDARG00000077686;aak1b;Aak1;aak1b
ENSDARG00000079802;aanat2;Aanat;aanat2
ENSDARG00000036567;aanat1;Aanat;aanat1
ENSDARG00000069142;aars1;Aars1;aars
ENSDARG00000037350;rpl9;Rpl9;rpl9
ENSDARG00000074635;abca1a;Abca1;abca1a
ENSDARG00000100524;abca3b;Abca3;abca3b
ENSDARG00000021787;abcb5;Abcb5;abcb5
ENSDARG00000010936;abcb4;Abcb4;abcb4
ENSDARG00000079766;tap1;Tap1;tap1
ENSDARG00000033446;tap2t;Tap2;tap2t
ENSDARG00000036787;tap2a;Tap2;tap2a
ENSDARG00000063297;abcb6a;Abcb6;abcb6a
ENSDARG00000094901;abcc6b.2;Abcc6;abcc6b.2
ENSDARG00000041107;cftr;Cftr;cftr
ENSDARG00000038785;abcf2a;Abcf2;abcf2a
ENSDARG00000061047;abcg4a;Abcg4;abcg4a
ENSDARG00000076435;abhd10a;Abhd10;abhd10a
ENSDARG00000091433;abhd17aa;Abhd17a;abhd17aa
ENSDARG00000043084;abhd17ab;Abhd17a;abhd17ab
ENSDARG00000025797;abhd2a;Abhd2;abhd2a
ENSDARG00000099515;ephx4;Ephx4;ephx4
ENSDARG00000010155;abi1a;Abi1;abi1a
ENSDARG00000071095;abi3bpb;Abi3bp;abi3bpb
ENSDARG00000019207;gbgt1l5;Gbgt1;abo
ENSDARG00000061355;aoc1;Aoc1l1;aoc1
ENSDARG00000033854;abrab;Abra;abrab
ENSDARG00000043339;abraxas1;Abraxas1;abraxas2a
ENSDARG00000098907;abraxas2;Abraxas2;abraxas2b
ENSDARG00000091342;adcy5;Adcy5;adcy5
ENSDARG00000060783;acap2b;Acap2;acap2
ENSDARG00000059824;soat2;Soat2;soat2
ENSDARG00000020574;atp2a1;Atp2a1;atp2a1
ENSDARG00000078512;acaca;Acaca;acaca
ENSDARG00000006849;asic2;Asic2;asic2
ENSDARG00000101866;asic1b;Asic3;asic1b
ENSDARG00000008329;asic1a;Asic1;asic1a
ENSDARG00000098428;asic1c;Asic1;asic1c
ENSDARG00000025162;asic4a;Asic4;asic4a
ENSDARG00000004243;asic4b;Asic4;asic4b
ENSDARG00000003399;fgf8a;Fgf8;fgf8a
ENSDARG00000062909;furina;Furin;furina
ENSDARG00000005355;larp6a;Larp6;larp6
ENSDARG00000009021;chrna1;Chrna1;chrna1
ENSDARG00000022532;chrnb1l;Chrnb1;chrnb1l
ENSDARG00000069660;chrnb1;Chrnb1;chrnb1
ENSDARG00000034307;chrne;Chrne;chrne
ENSDARG00000086647;chrng;Chrng;chrng
ENSDARG00000060745;pgm5;Pgm5;pgm5
ENSDARG00000026842;acin1b;Acin1;acin1b
ENSDARG00000069433;tnk1;Tnk1;tnk1
ENSDARG00000104409;tnk2b;Tnk2;tnk2b
ENSDARG00000099079;aclya;Acly;aclya
ENSDARG00000036092;sdhaf3;Sdhaf3;sdhaf3
ENSDARG00000058229;acot11a;Acot11;acot11a
ENSDARG00000058352;acot9.1;Acot10;acot9.1
ENSDARG00000019763;acp5a;Acp5;acp5a
ENSDARG00000040644;pxylp1;Pxylp1;pxylp1
ENSDARG00000100086;adipoqb;Adipoq;adipoqb
ENSDARG00000030514;acsl1a;Acsl1;acsl1a
ENSDARG00000014674;acsl3b;Acsl3;acsl3b
ENSDARG00000004078;acsl4a;Acsl4;acsl4a
ENSDARG00000044142;acss1;Acss1;acss1
ENSDARG00000091734;traf3ip2l;Traf3ip2;traf3ip2l
ENSDARG00000099197;actc1b;Actc1;actc1b
ENSDARG00000012671;inhbaa;Inhba;inhbaa
ENSDARG00000040777;inhbb;Inhbb;inhbb
ENSDARG00000055618;acta1b;Acta1;acta1b
ENSDARG00000042535;actc1a;Actc1;actc1a
ENSDARG00000043135;pomca;Pomc;pomca
ENSDARG00000037746;actb1;Actg1;actb1
ENSDARG00000024759;inhbab;Inhba;inhbab
ENSDARG00000071090;actn2b;Actn2;actn2b
ENSDARG00000013755;actn3a;Actn3;actn3a
ENSDARG00000011611;actr1b;Actr1b;actr1
ENSDARG00000052438;actr2a;Actr2;actr2a
ENSDARG00000011188;acvr2aa;Acvr2a;acvr2aa
ENSDARG00000044422;acvr2ba;Acvr2b;acvr2b
ENSDARG00000014986;acvr1l;Acvr1;acvr1l
ENSDARG00000018968;acvr1ba;Acvr1b;acvr1ba
ENSDARG00000002487;noc3l;Noc3l;noc3l
ENSDARG00000003113;ada;Ada;ada
ENSDARG00000053468;adam10a;Adam10;adam10a
ENSDARG00000079068;adam12b;Adam12;adam12
ENSDARG00000093093;adam17b;Adam17;adam17b
ENSDARG00000001452;adam8a;Adam8;adam8a
ENSDARG00000010070;adam9a;Adam9;adam9
ENSDARG00000029124;adamts15a;Adamts15;adamts15a
ENSDARG00000075930;adamts2a;Adamts2;adamts2
ENSDARG00000038151;zgc:92360;Adap1;zgc:92360
ENSDARG00000041609;adarb1a;Adarb1;adarb1a
ENSDARG00000020123;coq8aa;Coq8a;adck3
ENSDARG00000101130;coq8b;Coq8b;adck4
ENSDARG00000031783;adcy8;Adcy8;adcy8
ENSDARG00000060070;adcy7;Adcy7;adcy7
ENSDARG00000061445;adcy6a;Adcy6;adcy6a
ENSDARG00000004015;adcyap1a;Adcyap1;adcyap1a
ENSDARG00000105201;adcyap1r1a;Adcyap1r1;adcyap1r1a
ENSDARG00000040874;add3a;Add3;add3a
ENSDARG00000042332;plin2;Plin2;plin2
ENSDARG00000054177;adgra1a;Adgra1;adgra1a
ENSDARG00000080010;adh5;Adh5;adh5
ENSDARG00000062228;adipoqa;Adipoq;adipoqa
ENSDARG00000002912;adipor1a;Adipor1;adipor1a
ENSDARG00000039429;adka;Adk;adka
ENSDARG00000045708;adm2a;Adm2;adm2a
ENSDARG00000036616;gpr182;Gpr182;gpr182
ENSDARG00000074293;adnpb;Adnp;adnpb
ENSDARG00000062002;adnpa;Adnp;adnpa
ENSDARG00000060937;adnp2a;Adnp2;adnp2a
ENSDARG00000075694;adora1b;Adora1;adora1b
ENSDARG00000019338;adprs;Adprs;adprhl2
ENSDARG00000026090;adprm;Adprm;adprm
ENSDARG00000079202;parp2;Parp2;parp2
ENSDARG00000008237;sars1;Sars1;sars
ENSDARG00000028725;adra1aa;Adra1a;adra1aa
ENSDARG00000104094;grk3;Grk3;adrbk2
ENSDARG00000058560;adrm1;Adrm1;adrm1
ENSDARG00000002071;adss2;Adss2;adss
ENSDARG00000099517;adss1;Adss1;adssl1
ENSDARG00000102394;ap1g1;Ap1g1;ap1g1
ENSDARG00000089475;hbae1.2;Hba-x;hbae1
ENSDARG00000012881;slc4a1a;Slc4a1;slc4a1a
ENSDARG00000088330;hbae1.3;Hba-x;HBZ
ENSDARG00000028173;slc4a2a;Slc4a2;slc4a2a
ENSDARG00000052330;slc4a2b;Slc4a2;slc4a2b
ENSDARG00000104005;slc4a3;Slc4a3;FQ790211.1
ENSDARG00000091726;aebp1a;Aebp1;aebp1
ENSDARG00000102441;ctnna1;Ctnna1;ctnna1
ENSDARG00000020219;dld;Dll1;dld
ENSDARG00000039150;lgmn;Lgmn;lgmn
ENSDARG00000021805;tle5;Tle5;aes
ENSDARG00000094451;cfp;Cfp;cfp
ENSDARG00000057210;has3;Has3;has3
ENSDARG00000009470;hnf1a;Hnf1a;hnf1a
ENSDARG00000025301;gfap;Gfap;gfap
ENSDARG00000089162;afap1l1a;Afap1l1;afap1l1a
ENSDARG00000019117;parvb;Parvb;parvb
